ID.x,Age,ChildrenNumber,CountryCitizen,EmploymentField,EmploymentStatus,ExpectedEarning,Gender,Income,JobPref,JobRoleInterest,LanguageAtHome,MaritalStatus,SchoolDegree,StudentDebtOwe
93f53693cf91031e05815ee6e0e594fa,34,NA,United States of America,NA,Not working and not looking for work,NA,male,NA,freelance ,NA,English,NA,high school diploma or equivalent (GED),NA
f960ecda43960ecbdeb77d89c71982cc,19,NA,Jamaica,NA,NA,80000,male,NA,work for a medium-sized company,  Data Scientist / Data Engineer,English,NA,"some college credit, no degree",NA
c4796091222e4130cc18e5614d1d25a0,28,NA,United States of America,education,Employed for wages,90000,male,52000,work for a startup,Full-Stack Web Developer,English,NA,bachelor's degree,NA
b18b8e5306e95b81c97e9bdd0c7298f0,24,NA,Canada,NA,Not working but looking for work,NA,male,NA,freelance ,NA,Russian,NA,high school diploma or equivalent (GED),NA
9e7e9e27fcd5556d8c13596e76bdc18b,41,2,United Kingdom,office and administrative support,Employed for wages,NA,male,17000,freelance ,NA,English,married or domestic partnership,master's degree (non-professional),NA
8b469700c0dff66a0c931b6b364de27b,47,1,Italy,sales,Self-employed freelancer,NA,male,20000,freelance ,NA,Italian,married or domestic partnership,high school diploma or equivalent (GED),NA
db7b8b480c02d2a3bf5c21dd97d8f821,22,NA,Venezuela,NA,Not working but looking for work,60000,male,NA,work for a medium-sized company,  Mobile Developer,Spanish,NA,high school diploma or equivalent (GED),NA
4c2308c85b47e3123e92ac8882026603,20,NA,India,NA,Doing an unpaid internship,50000,female,NA,work for a multinational corporation,Full-Stack Web Developer,Hindi,NA,high school diploma or equivalent (GED),NA
15ccf0460316d75677b6b57d56fa55eb,20,NA,United States of America,software development,Employed for wages,60000,male,24000,work for a startup,Full-Stack Web Developer,Spanish,NA,high school diploma or equivalent (GED),NA
fe293ca32e227dc297c14da9067146e6,19,NA,Bangladesh,NA,Not working but looking for work,NA,male,NA,freelance ,NA,Bengali,NA,some high school,NA
7c4eda5a0ef3aff3bf48f413874512e6,25,NA,Portugal,software development,Employed for wages,NA,male,12000,NA,NA,Portuguese,NA,"some college credit, no degree",NA
ffb43abb60751abe1cf25b7e8e82bd2e,20,NA,India,NA,NA,40000,male,NA,work for a medium-sized company,Full-Stack Web Developer,Hindi,NA,high school diploma or equivalent (GED),20000
0285064c6b4cc8605830e28ada7a8646,43,NA,United States of America,NA,Not working and not looking for work,NA,male,NA,freelance ,NA,English,NA,"some college credit, no degree",NA
82c7c3d3763ccd8d005acd81386bab59,33,3,United States of America,NA,Not working but looking for work,45000,female,NA,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,high school diploma or equivalent (GED),NA
cd58da1fda434a452b6b8d6ff2d987eb,35,NA,United States of America,NA,Not working but looking for work,50000,female,NA,work for a medium-sized company,  Front-End Web Developer,English,"single, never married","some college credit, no degree",5000
a3d3031ac9ebf9729b0901489f51f3b1,30,NA,United States of America,NA,Not working but looking for work,NA,male,NA,start your own business,NA,English,NA,bachelor's degree,NA
6af0115e67d61aa53daafd6997580654,25,NA,United States of America,software development,Employed for wages,NA,female,64000,freelance ,NA,English,NA,bachelor's degree,NA
f2b324b6d29f67caa61d3d9281ca1d2a,24,NA,Macedonia,NA,Not working but looking for work,NA,male,NA,start your own business,NA,English,NA,bachelor's degree,NA
c46034dc81a706517d409ffb38bc77ad,36,3,Cyprus,software development,Employed for wages,35000,male,35000,work for a medium-sized company,  Quality Assurance Engineer,Greek,married or domestic partnership,"some college credit, no degree",NA
1845c77e6441fcf88cd827ddbf9ec821,30,NA,United States of America,health care,Employed for wages,50000,male,24000,work for a startup,  Front-End Web Developer,English,NA,"some college credit, no degree",19000
fcb8fa5aabb06b58a622044cc6b6ff38,34,NA,United States of America,education,Employed for wages,NA,female,62500,freelance ,NA,English,NA,master's degree (non-professional),75000
fcc823c9210fe7de466c995411e9ca8e,40,NA,Sweden,software development,Employed for wages,NA,male,27000,NA,NA,Swedish,married or domestic partnership,some high school,3000
5efdcf5c11706dc8a8aa8828a16f8cdf,30,NA,United States of America,NA,A stay-at-home parent or homemaker,NA,female,NA,start your own business,NA,English,NA,"professional degree (MBA, MD, JD, etc.)",110000
ceb36bd8da397e300c136e629d20d319,47,NA,Brazil,software development,Self-employed freelancer,NA,female,30000,NA,NA,English,NA,"professional degree (MBA, MD, JD, etc.)",NA
7b9ee0457faa130c0f115c8c4275de7d,24,NA,Portugal,software development,Employed for wages,NA,female,16500,NA,NA,Portuguese,NA,bachelor's degree,NA
cb48a6246c0b5ca23348c2236399da04,25,NA,United States of America,finance,Employed for wages,NA,female,75000,freelance ,NA,Mandarin Chinese,NA,bachelor's degree,NA
1b4e8f2b9a7b398dfedf95030806ae57,27,NA,United States of America,transportation,Self-employed business owner,NA,male,NA,freelance ,NA,English,NA,associate's degree,NA
8547d1d5882e6ef38d3d5978fdb81a1e,27,NA,United States of America,software development,Employed for wages,NA,female,NA,NA,NA,English,NA,bachelor's degree,40000
04d3591d0b8a318f30d9d1ead6ee0ff2,24,NA,United States of America,architecture or physical engineering,Employed for wages,65000,male,50000,NA,Back-End Web Developer,English,NA,bachelor's degree,40000
c582cccc6ff71c98de700bf3b54ffa58,34,NA,United States of America,education,Employed for wages,35000,male,40000,work for a startup,Full-Stack Web Developer,English,NA,"some college credit, no degree",27000
0332a473bafc6bc358d7a8ac64a39d8a,37,1,United States of America,education,Employed for wages,70000,male,56000,work for a multinational corporation,Full-Stack Web Developer,English,married or domestic partnership,"some college credit, no degree",50000
ab56a59076e6ee3a5311cc5beaacb41c,39,1,United States of America,transportation,Employed for wages,50000,male,35000,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,bachelor's degree,24000
000a59f3aa3c122fba18944446e2b8ae,36,1,United States of America,office and administrative support,Employed for wages,NA,male,45000,freelance ,NA,English,married or domestic partnership,associate's degree,80000
13a493108c692afb1e7b1fee38efee39,30,2,United States of America,software development,Employed for wages,NA,male,50000,NA,NA,English,married or domestic partnership,associate's degree,20000
d2d8d21e09f2410dfa0ca0e12f3dffd0,25,NA,United States of America,NA,Employed for wages,80000,female,37000,work for a medium-sized company,Full-Stack Web Developer,English,NA,bachelor's degree,NA
697dc0c1cdb33dcff1644b4c6417cd29,31,NA,United States of America,software development,Employed for wages,NA,male,110000,NA,NA,English,married or domestic partnership,"some college credit, no degree",NA
2d072343f601a92df14de5e63f922909,36,1,United States of America,"arts, entertainment, sports, or media",Employed for wages,85000,male,65000,work for a medium-sized company,  DevOps / SysAdmin,English,married or domestic partnership,master's degree (non-professional),NA
55aa0b9d51af0bc2878246c9a11acd70,20,NA,United States of America,software development,Self-employed freelancer,NA,male,16000,NA,NA,English,NA,"some college credit, no degree",NA
f93b92110ae205b4230bcf4e0d9f7a6d,32,NA,United Kingdom,NA,Not working and not looking for work,45000,male,NA,work for a medium-sized company,Full-Stack Web Developer,English,NA,bachelor's degree,30000
1bdd582493e1aa4409a674be81c1cac7,27,NA,United Kingdom,finance,Employed for wages,30000,male,30000,work for a medium-sized company,Full-Stack Web Developer,English,NA,bachelor's degree,NA
f88b5cfaeca941ef1f57329abb27ca35,32,NA,United Kingdom,office and administrative support,Employed for wages,NA,male,23000,freelance ,NA,English,NA,bachelor's degree,30000
79506bcc4eaab1f7f40c6719b6e83d88,32,NA,United States of America,NA,Employed for wages,100000,female,94000,work for a medium-sized company,  Front-End Web Developer,Yue (Cantonese) Chinese,NA,bachelor's degree,NA
dbe4b1faf0e0ec1f2c3711ac4f8ce821,38,3,United States of America,"arts, entertainment, sports, or media",Employed for wages,NA,male,85000,NA,NA,English,married or domestic partnership,bachelor's degree,5000
d6abc3cffe6a8f8d4ac0d64f3bfabc35,16,NA,United States of America,NA,NA,NA,male,NA,freelance ,NA,English,NA,some high school,NA
559c3cc6b5727ac18b198d9e3094929e,19,NA,Canada,software development,Employed for wages,NA,male,10000,NA,NA,English,NA,high school diploma or equivalent (GED),20000
38d37ed8a96fe705db0cd9d1112c97fc,22,NA,Nigeria,NA,Not working but looking for work,NA,male,NA,NA,NA,English,NA,some high school,NA
6ca993739cf368a8b764ecb355359da2,19,NA,United Kingdom,software development,Employed for wages,NA,male,18000,NA,NA,English,NA,high school diploma or equivalent (GED),NA
48439bea8554956d8a577b5ad63f9524,24,NA,France,NA,Not working but looking for work,50000,male,NA,work for a startup,Full-Stack Web Developer,French,NA,bachelor's degree,NA
79aebaf36d9ccd10d0f1b2a9dff9543c,34,3,United Kingdom,NA,A stay-at-home parent or homemaker,50000,male,NA,work for a startup,Back-End Web Developer,English,married or domestic partnership,high school diploma or equivalent (GED),NA
ea0319686c422efc9fe9c0364a6fb117,26,NA,United States of America,sales,Employed for wages,45000,male,30000,work for a startup,  Data Scientist / Data Engineer,English,"single, never married","some college credit, no degree",5000
915f2ed898947d610e3b41c10bed72fe,38,NA,United States of America,NA,NA,60000,female,NA,work for a medium-sized company,Full-Stack Web Developer,English,NA,"some college credit, no degree",8000
24b64d38e5025f28bd5c0be8fd6ae9be,28,NA,United States of America,architecture or physical engineering,Employed for wages,NA,male,60000,freelance ,NA,English,NA,"some college credit, no degree",NA
1a124244c3f5501bc0a5c96ff2387cc0,32,NA,United States of America,"arts, entertainment, sports, or media",Self-employed business owner,NA,male,67000,freelance ,NA,Yue (Cantonese) Chinese,NA,bachelor's degree,NA
fe4b00562e4aaa53b4b6956d0631f021,35,NA,United States of America,education,Employed for wages,55000,male,50000,work for a startup,Full-Stack Web Developer,English,NA,master's degree (non-professional),NA
9cc94bb3a1e6a029c54e1baaad346055,16,NA,United States of America,NA,Doing an unpaid internship,NA,male,NA,work for a multinational corporation,Full-Stack Web Developer,English,NA,some high school,NA
16e7110386a7c024adcb4753cdd042b8,23,NA,United States of America,NA,Not working but looking for work,80000,male,NA,work for a multinational corporation,Full-Stack Web Developer,English,NA,"some college credit, no degree",7000
f78cf5785eba1985f5bdb9de8dfdda69,26,NA,United States of America,software development,Employed for wages,NA,male,40000,NA,NA,English,married or domestic partnership,master's degree (non-professional),80000
65bb23364ae1581e38e35b166d47ef1e,25,NA,"Netherlands (Holland, Europe)",software development,Self-employed freelancer,NA,male,30000,NA,NA,Dutch,NA,bachelor's degree,27000
ae712b0271669b79479c8051e56956cc,25,NA,United States of America,office and administrative support,Employed for wages,60000,male,40000,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,bachelor's degree,20000
3aaae9b5b7a39f4a6b4febedc5152c2f,34,NA,United States of America,education,Employed for wages,60000,male,45000,work for a medium-sized company,Full-Stack Web Developer,English,NA,master's degree (non-professional),NA
50eb0912d0efb00dee1b0590a48c8668,31,NA,United States of America,finance,Employed for wages,45000,male,34000,work for a medium-sized company,  DevOps / SysAdmin,Hindi,NA,bachelor's degree,NA
8a4040d2531281194752475dc2c53609,46,3,Sweden,"arts, entertainment, sports, or media",Employed for wages,50000,female,45000,work for a medium-sized company,  User Experience Designer,Swedish,"single, never married",master's degree (non-professional),30000
5aaa2d5e9596cccc55ca93a8d7de6127,19,NA,United States of America,software development,Employed for wages,NA,male,10000,NA,NA,English,NA,"some college credit, no degree",NA
b20068a41d1199ada2e55b5fdfd254f2,22,NA,Pakistan,NA,Not working but looking for work,NA,male,NA,freelance ,NA,Urdu,"single, never married",some high school,NA
e90cb86f2b59212724bce3b2dad53276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7c196c58dbee549119218158b2b28d8d,30,NA,United States of America,software development,Employed for wages,NA,male,37000,NA,NA,English,married or domestic partnership,high school diploma or equivalent (GED),NA
bc28535824b91a4a5b7cceb99bfe8d4f,25,NA,United States of America,NA,Military,80000,male,NA,work for a startup,Full-Stack Web Developer,English,NA,"some college credit, no degree",NA
f782065928d3abbecdce9ab3a9b963a5,15,NA,United States of America,NA,Not working but looking for work,NA,female,NA,work for a medium-sized company,  Mobile Developer,English,NA,some high school,NA
ef28bd84f6258c4da82e48666bb19256,36,2,Ecuador,software development,Self-employed freelancer,NA,male,20000,NA,NA,Spanish,married or domestic partnership,bachelor's degree,NA
f7140cb6e76dd81a02a564f212c8092e,26,NA,United States of America,health care,Employed for wages,NA,female,19000,freelance ,NA,Spanish,NA,bachelor's degree,11400
aab3b7fab354efae1732984885b2fd96,43,1,Australia,NA,NA,NA,male,NA,NA,NA,Yue (Cantonese) Chinese,married or domestic partnership,Ph.D.,NA
c232766de928ea9c51496b9d9b970cba,24,NA,Nepal,NA,Not working but looking for work,50000,male,NA,work for a medium-sized company,Full-Stack Web Developer,Nepali,NA,bachelor's degree,NA
b966614dfd6db1e48279548396c1a511,27,2,United States of America,food and beverage,Self-employed business owner,80000,male,50000,work for a medium-sized company,Back-End Web Developer,English,married or domestic partnership,bachelor's degree,NA
0962ae81aa18a44fe2d894e5218488f9,31,NA,France,office and administrative support,Employed for wages,65000,female,35000,work for a startup,Full-Stack Web Developer,French,NA,master's degree (non-professional),NA
515731d91f268aa14974aa4ca3ae9270,28,NA,Canada,transportation,Employed for wages,NA,male,70000,freelance ,NA,English,NA,associate's degree,NA
9102b4ecba524043f600aa935b03b4d0,32,NA,United States of America,software development,Employed for wages,NA,male,20000,NA,NA,English,NA,bachelor's degree,40000
6dea701828bd3f18513d4da19dc17729,23,NA,France,NA,NA,35000,male,NA,work for a medium-sized company,Back-End Web Developer,French,NA,master's degree (non-professional),30000
f8ca2363d4865ae2c0be425590419fac,16,NA,"Netherlands (Holland, Europe)",food and beverage,Employed for wages,NA,male,NA,freelance ,NA,Dutch,NA,no high school (secondary school),NA
bae8750a6d21d0952b94240fc623c9bb,29,NA,United States of America,education,Employed for wages,50000,female,35000,work for a medium-sized company,Full-Stack Web Developer,English,NA,bachelor's degree,20000
a77269d8b230226c7a50191004900eac,43,NA,Greece,NA,Self-employed freelancer,NA,male,NA,freelance ,NA,Greek,NA,bachelor's degree,NA
e2a8aaf43d7bd5efdd4833ff7df786b9,25,NA,Canada,software development,Employed for wages,NA,male,30000,NA,NA,English,NA,bachelor's degree,15000
985f596883c4996c76382c7abd956dbb,35,NA,United States of America,software development,Self-employed business owner,NA,male,135000,NA,NA,English,NA,master's degree (non-professional),NA
43f3cf7ea0fba59cbf9d510feb720bce,33,NA,United States of America,NA,Not working but looking for work,70000,female,NA,work for a medium-sized company,  Front-End Web Developer,English,NA,bachelor's degree,NA
6e3377245d5e895e3efe2dae9a79f8a9,18,NA,Philippines,NA,NA,75000,female,NA,work for a multinational corporation,  Front-End Web Developer,English,NA,high school diploma or equivalent (GED),NA
5b8853338977659723f99ae2cd162a8d,21,NA,United States of America,NA,Doing an unpaid internship,50000,male,NA,work for a multinational corporation,Full-Stack Web Developer,English,NA,associate's degree,NA
b24666e9f420eb1b87d51792cf43e8ce,24,NA,Australia,software development,Employed for wages,NA,male,35000,NA,NA,Pashto,NA,bachelor's degree,30000
323d4158e958015b3c8adc46c6c40f0d,20,NA,India,NA,Not working and not looking for work,55000,male,NA,work for a startup,  Front-End Web Developer,Marathi,NA,"some college credit, no degree",NA
adf3108cec728098b52da592633d9624,25,NA,Jamaica,office and administrative support,Employed for wages,38000,female,26000,work for a medium-sized company,Back-End Web Developer,English,NA,master's degree (non-professional),50000
ce1da26d222c2648c126199b5f7a0471,24,NA,United States of America,NA,Not working but looking for work,70000,female,NA,work for a multinational corporation,Full-Stack Web Developer,English,NA,bachelor's degree,NA
f87ba3223c5b429f47f754a11a6dfa62,41,3,Barbados,software development,Employed for wages,NA,male,75000,NA,NA,English,married or domestic partnership,"some college credit, no degree",8000
2f7190b89e037220be1000a309fa39c9,27,NA,United States of America,software development,Employed for wages,40000,male,16000,work for a startup,Full-Stack Web Developer,English,NA,bachelor's degree,70000
abb54502eb65aa6f80cfe88dff4327ba,24,NA,Belgium,NA,Not working but looking for work,60000,male,NA,work for a medium-sized company,  Data Scientist / Data Engineer,Dutch,NA,master's degree (non-professional),NA
6f582e1f3cbe854c2c1857829a60380b,22,NA,United States of America,NA,Not working but looking for work,70000,male,NA,work for a medium-sized company,  Front-End Web Developer,Portuguese,NA,bachelor's degree,NA
356dd9b0d654cd86490ad140a9e84172,32,NA,United States of America,software development,Employed for wages,NA,male,45000,NA,NA,English,married or domestic partnership,associate's degree,NA
543413b927445f68e2fb02e4e235f2c0,28,NA,Canada,software development,Self-employed business owner,NA,male,NA,start your own business,NA,English,NA,bachelor's degree,NA
79180d0eb788567beae74b0954c31c06,40,2,Ireland,education,Employed for wages,NA,male,24000,start your own business,NA,English,separated,bachelor's degree,NA
023b18985c06a6194a690155971362df,31,NA,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,50000,male,7000,work for a medium-sized company,Full-Stack Web Developer,English,NA,bachelor's degree,34000
a9b52237fb3d7201fa87f851394181dd,22,NA,United States of America,NA,Doing an unpaid internship,75000,male,NA,work for a startup,  Data Scientist / Data Engineer,English,NA,associate's degree,NA
b08ec032275f0582ca67f2d43eecfcba,32,4,United States of America,NA,Employed for wages,NA,male,53000,NA,NA,English,married or domestic partnership,associate's degree,48000
cf6ae3e61e1d99d98eee00407c7244f7,36,NA,United States of America,NA,Not working but looking for work,60000,female,NA,work for a medium-sized company,Back-End Web Developer,English,NA,master's degree (non-professional),150000
a18af89a32ba7b4af25a9d4c576828aa,27,2,United States of America,NA,Not working and not looking for work,50000,male,NA,work for a medium-sized company,  Front-End Web Developer,English,married or domestic partnership,"some college credit, no degree",23000
6bb62f0136c9486bfdd79e35b6d4de57,27,NA,United Kingdom,NA,Employed for wages,50000,male,NA,work for a startup,  Data Scientist / Data Engineer,English,NA,bachelor's degree,NA
168fef0effa9b039fac6e189e1012300,26,NA,Croatia,office and administrative support,Employed for wages,16000,male,6000,work for a medium-sized company,Full-Stack Web Developer,Serbo-Croatian,NA,bachelor's degree,NA
b8a498b072d4122f3e516dfab41eb504,30,NA,United States of America,NA,Not working but looking for work,72000,male,NA,work for a medium-sized company,Full-Stack Web Developer,English,NA,bachelor's degree,NA
8d8a7cdda48948b0dd168898efd50162,26,NA,Bolivia,NA,Not working but looking for work,85000,male,NA,work for a startup,Full-Stack Web Developer,Spanish,NA,bachelor's degree,NA
ec1a1572ef436f83371376300211e392,14,NA,United States of America,NA,NA,NA,male,NA,work for a medium-sized company,Full-Stack Web Developer,English,NA,no high school (secondary school),NA
41f255175a94a88b73ee91fb1b2f9efc,34,1,United States of America,education,Employed for wages,NA,male,45000,freelance ,NA,English,married or domestic partnership,"some college credit, no degree",18000
ee9345425092dc9c819f88ddbbf00051,37,1,Ireland,transportation,Employed for wages,NA,male,34000,freelance ,NA,English,married or domestic partnership,"some college credit, no degree",NA
1a4d9fb5a5df63ea0a9bc55525ddaab1,34,NA,United States of America,education,Employed for wages,50000,female,76000,work for a medium-sized company,Full-Stack Web Developer,English,NA,Ph.D.,NA
d9f4e7b260e105e7955bf12d2da7c71d,24,NA,Senegal,NA,Not working but looking for work,30000,male,NA,work for a medium-sized company,  Product Manager,French,NA,associate's degree,NA
e06c474d0cfbd077fa3dc9ab1a30c560,34,NA,United States of America,NA,Not working but looking for work,NA,female,NA,freelance ,NA,English,NA,master's degree (non-professional),NA
7de121b27491b07a8a3906dd6104fde6,29,NA,United States of America,NA,Employed for wages,70000,male,35000,work for a medium-sized company,Full-Stack Web Developer,English,NA,high school diploma or equivalent (GED),NA
43d0fbe9f86b58841887c08f93d0a084,50,NA,United States of America,NA,Self-employed business owner,40000,male,40000,work for a medium-sized company,Back-End Web Developer,English,NA,bachelor's degree,NA
4ce1000624e1bfbb91ef068be310543b,19,NA,United Kingdom,NA,NA,30000,male,NA,work for a medium-sized company,Full-Stack Web Developer,English,NA,"some college credit, no degree",NA
9e948b75e51e3498c20f268dd1c9e007,32,NA,United States of America,education,Employed for wages,NA,male,46000,start your own business,NA,English,NA,master's degree (non-professional),NA
20d54c4b6c4458ccf7944a245da2c69c,22,NA,Ireland,NA,NA,35000,male,NA,work for a multinational corporation,  Data Scientist / Data Engineer,English,NA,bachelor's degree,NA
73b322b87d6b4f40616fcad76efe8d53,26,NA,United States of America,NA,A stay-at-home parent or homemaker,NA,female,NA,freelance ,NA,English,NA,high school diploma or equivalent (GED),NA
a43b01b82363742c51108b36a6a02689,30,NA,United States of America,education,Self-employed freelancer,50000,male,40000,work for a multinational corporation,  Front-End Web Developer,English,NA,master's degree (non-professional),74000
ed88f2b577958160de20142de76311ed,26,NA,United States of America,NA,Not working and not looking for work,60000,female,NA,work for a startup,Full-Stack Web Developer,English,NA,"some college credit, no degree",NA
229c191d8ffb46574cf1f7ab3e972487,27,NA,Romania,NA,Unable to work,NA,male,NA,NA,NA,Russian,NA,bachelor's degree,NA
